PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Age_Group,Fare_Group
1,0,3,12,1,-0.5523602938777661,1,0,-0.9184744684050786,140,2,0,1
2,1,1,13,0,0.6594752245151847,1,0,0.9232857028458803,81,0,2,0
3,1,3,9,0,-0.24940141427952836,0,0,-0.8686556916616944,115,2,0,1
4,1,1,13,0,0.4322560648165064,1,0,2.465512070386274,55,2,2,0
5,0,3,12,1,0.4322560648165064,0,0,-0.8594299922647715,115,2,2,1
6,0,3,12,1,-0.314490636101944,0,0,-0.8292951677546623,143,1,0,1
7,0,1,12,1,1.8713107429081355,0,0,2.374177646356736,129,2,2,0
8,0,3,8,1,-2.0671546918689545,3,1,0.10188788489460394,145,2,1,2
9,1,3,13,0,-0.17366169437996895,0,2,-0.6318652006605102,145,2,0,1
10,1,2,13,0,-1.1582780530742414,1,0,0.7658282579733225,90,0,4,0
11,1,3,9,0,-1.9156752520698357,1,1,-0.22101159399770068,145,2,1,2
12,1,1,9,0,2.1742696225063733,0,0,0.505973518479831,49,2,2,2
13,0,3,12,1,-0.7038397336768849,0,0,-0.8594299922647715,140,2,0,1
14,0,3,12,1,0.7352149444147441,1,5,0.8547049556835198,141,2,2,0
15,0,3,9,0,-1.1582780530742414,0,0,-0.8738811278001117,145,2,4,1
16,1,2,13,0,1.9470504628076948,0,0,-0.27267551062046935,90,2,2,2
17,0,3,8,1,-2.0671546918689545,4,1,0.6960229260564446,144,1,1,2
18,1,2,12,1,0.04428920017261876,0,0,-0.4940922961466211,111,2,0,1
19,0,3,13,0,0.12929718521826875,1,0,-0.12506432026970155,145,2,0,2
20,1,3,13,0,-0.314490636101944,0,0,-0.9203196082844632,140,0,0,1
21,0,2,12,1,0.4322560648165064,0,0,0.4653804411333698,111,2,2,2
22,1,2,12,1,0.356516344916947,0,0,-0.4940922961466211,111,2,0,1
23,1,3,9,0,-1.082538333174682,0,0,-0.8609651486444195,145,1,4,1
24,1,1,12,1,-0.09792197448040951,0,0,1.166533595299517,13,2,0,0
25,0,3,9,0,-1.612716372471598,3,1,0.10188788489460394,145,2,1,2
26,1,3,13,0,0.6594752245151847,1,5,0.8630080851407506,145,2,2,0
27,0,3,12,1,-0.314490636101944,0,0,-0.9203196082844632,140,0,0,1
28,0,1,12,1,-0.7795794535764443,3,2,0.9232857028458803,63,2,0,0
29,1,3,9,0,-0.314490636101944,0,0,-0.872035987920727,143,1,0,1
30,0,3,12,1,-0.314490636101944,0,0,-0.8708108150408156,140,2,0,1
31,0,1,3,1,0.8109546643143035,0,0,0.5923851093111705,69,0,2,2
32,1,1,13,0,0.6771559698809851,1,0,0.9232857028458803,41,0,2,0
